# Sense-keyed inversions (PLAN §3 error 2; DATA_PLAN §4 stage 8).
#
# v1 had ONE ROW PER TRIGGER, which is exactly the data-model fault PLAN §3
# records for the original: "the vocabulary asserted one part of speech and one
# sense per word -- errors 1 and 2 were the data model working as written, not
# bugs." Entries are now keyed by (trigger, sense).
#
# block_context : if any of these content words appear in the sentence, veto.
#                 Each one was derived from an observed failure, not guessed.
# require_context: if non-empty, at least one must appear.
trigger	replacement	hard_word	pos	trigger_sense	block_context	require_context	note
reveal	divulge	divulge	VERB	disclose private information	gas|light|surface|image|scan|study|photo|picture|skin	source|name|detail|details|identity|information|secret|content|terms|salary	divulge takes information, not phenomena
reveals	divulges	divulge	VERB	disclose private information	gas|light|surface|image|scan|study|photo|picture|skin	source|name|detail|details|identity|information|secret|content|terms|salary	
revealed	divulged	divulge	VERB	disclose private information	gas|light|surface|image|scan|study|photo|picture|skin	source|name|detail|details|identity|information|secret|content|terms|salary	
explain	elucidate	elucidate	VERB	make an idea clear			
explains	elucidates	elucidate	VERB	make an idea clear			
find out	ascertain	ascertain	VERB	establish for certain			
confirm	corroborate	corroborate	VERB	support a claim with evidence	booking|reservation|flight|appointment|attendance		corroborate needs evidence, not admin confirmation
confirmed	corroborated	corroborate	VERB	support a claim with evidence	booking|reservation|flight|appointment|attendance		
disprove	refute	refute	VERB	show to be false			
avoid	eschew	eschew	VERB	deliberately abstain from	collision|crash|accident|obstacle|traffic|danger	meat|alcohol|publicity|violence|politics|technology|use	eschew is principled abstention, not evasion
avoided	eschewed	eschew	VERB	deliberately abstain from	collision|crash|accident|obstacle|traffic|danger		
abandon	forsake	forsake	VERB	renounce a person or principle	car|vehicle|building|ship|plan|project|site|baby		forsake is moral; blocks physical abandonment
give up	relinquish	relinquish	VERB	cease to claim something held	hope|smoking|trying|drinking	control|title|claim|right|rights|power|seat|throne|stake	relinquish needs an entitlement
surrender	capitulate	capitulate	VERB	concede defeat in a contest	police|weapon|passport|arms|himself|herself		blocks "surrender to police"
urge	exhort	exhort	VERB	strongly encourage			
urged	exhorted	exhort	VERB	strongly encourage			
scold	berate	berate	VERB	criticize angrily			
scolded	berated	berate	VERB	criticize angrily			
condemn	denounce	denounce	VERB	publicly declare wrong			
condemned	denounced	denounce	VERB	publicly declare wrong	building|property|house|structure		"condemned building" is the legal sense
weaken	undermine	undermine	VERB	erode gradually and indirectly			
weakened	undermined	undermine	VERB	erode gradually and indirectly	state|condition|immune|patient|coral		attributive "undermined state" does not work
strengthen	bolster	bolster	VERB	give support to			
strengthened	bolstered	bolster	VERB	give support to			
increase	augment	augment	VERB	add to			
increased	augmented	augment	VERB	add to			
prevent	preclude	preclude	VERB	make impossible			
prevented	precluded	preclude	VERB	make impossible			
endanger	jeopardize	jeopardize	VERB	put at risk			
endangered	jeopardized	jeopardize	VERB	put at risk	species|habitat|wildlife|list		"endangered species" is fixed
waste	squander	squander	VERB	spend a resource recklessly	construction|food|nuclear|toxic|water|management|disposal|landfill	money|chance|opportunity|talent|lead|fortune|inheritance	blocks the refuse-noun sense
wasted	squandered	squander	VERB	spend a resource recklessly	construction|food|nuclear|toxic|water		
multiply	proliferate	proliferate	VERB	increase rapidly in number			
fade	wane	wane	VERB	decrease in strength or influence	colour|color|dye|paint|fabric|jeans|photograph		wane is of power/interest, not pigment
faded	waned	wane	VERB	decrease in strength or influence	colour|color|dye|paint|fabric|jeans		
wipe out	eradicate	eradicate	VERB	destroy something undesirable	coast|town|village|city|population|army|team	disease|poverty|malaria|polio|deficit|corruption|hunger|smallpox	eradicate takes afflictions, not places
cut short	curtail	curtail	VERB	reduce in extent			
make worse	exacerbate	exacerbate	VERB	aggravate a problem			
made worse	exacerbated	exacerbate	VERB	aggravate a problem			
calm down	placate	placate	VERB	make less angry			
die down	subside	subside	VERB	become less intense			
spread widely	disseminate	disseminate	VERB	distribute information broadly	disease|virus|infection|fire|rumour		disseminate is deliberate distribution
think deeply	ruminate	ruminate	VERB	turn over in the mind			
ridicule	deride	deride	VERB	mock			
ridiculed	derided	deride	VERB	mock			
hinder	impede	impede	VERB	obstruct progress			
hindered	impeded	impede	VERB	obstruct progress			
