# Generated by scripts/generate_inversions.py (PLAN §5.2 pass 2).
# Sense-keyed: one row per (trigger, sense). See senses.py.
trigger	replacement	hard_word	pos	trigger_sense	block_context	require_context	note
unjustified	arbitrary	arbitrary	ADJ	lacking any reasoned basis, as of a decision or rule		decision|rule|distinction|limit|cutoff|deadline|choice	
outdated	archaic	archaic	ADJ	old-fashioned and no longer in current use	browser|driver|firmware|antivirus|software version		
old-fashioned	archaic	archaic	ADJ	belonging to an earlier era, no longer current	old-fashioned cocktail|bourbon|charm|good old-fashioned		
ancient	archaic	archaic	ADJ	very old, belonging to the distant past	Greece|Rome|Egypt|ancient history|civilization|ruins|world		
renounce	abjure	abjure	VERB	formally give up a belief, claim or allegiance			
renounced	abjured	abjure	VERB	formally gave up a belief, claim or allegiance			
disavow	abjure	abjure	VERB	publicly deny or repudiate a belief or association			
abnormal	anomalous	anomalous	ADJ	deviating from what is normal or expected	psychology|behaviour|behavior|personality|sexual		
unusual	anomalous	anomalous	ADJ	departing from the standard pattern in data, readings or results	gift|talent|beauty|name|dish|flavour|flavor	data|result|results|reading|readings|measurement|pattern|case|behaviour|behavior|finding|findings|value|values	
irregular	anomalous	anomalous	ADJ	not conforming to the normal rule or pattern	verb|verbs|plural|troops|forces|warfare|shape|edges|surface		
dislike	antipathy	antipathy	NOUN	a settled feeling of aversion toward someone or something	click|button|post|video|comment		
hostility	antipathy	antipathy	NOUN	deep-seated ill feeling toward a person or group	war|troops|fire|combat|ceasefire|hostilities		
aversion	antipathy	antipathy	NOUN	strong dislike or disinclination	risk|therapy|loss		
obscure	arcane	arcane	ADJ	known or understood by very few; abstruse	view|sky|clouds|vision|obscured|obscuring|sun|moon		
mysterious	arcane	arcane	ADJ	secret and understood only by initiates	disappearance|death|stranger|illness|circumstances|smile	knowledge|rules|rites|ritual|lore|terminology|language|jargon|doctrine|texts|formula|art	
esoteric	arcane	arcane	ADJ	intelligible only to a small group with specialized knowledge			
difficult	arduous	arduous	ADJ	requiring great and sustained physical or mental effort	child|person|people|customer|question|decision|conversation|personality	task|journey|climb|ascent|trek|march|process|work|training|hike|voyage|struggle	
strenuous	arduous	arduous	ADJ	requiring great exertion	denial|objection|objections		
tiring	arduous	arduous	ADJ	exhausting because of the effort required		journey|work|day|task|process|trip|climb|schedule	
naive	artless	artless	ADJ	innocently simple and without guile	assumption|mistake|investors|policy|dangerously|politically		
innocent	artless	artless	ADJ	guileless and unsophisticated in manner	guilty|verdict|court|crime|charge|jury|victims|proven|plea	charm|smile|manner|question|enthusiasm|delight|sincerity|simplicity|candour|candor	
unpretentious	artless	artless	ADJ	without affectation or display			
austere	ascetic	ascetic	ADJ	severely simple and self-denying in lifestyle	budget|austerity|cuts|spending|economy|architecture|facade|design	life|lifestyle|living|monk|monks|diet|discipline|regime|regimen|existence|devotion|habits	
strict	ascetic	ascetic	ADJ	marked by severe self-denial and renunciation of comfort	teacher|parents|deadline|law|laws|rules|liability|confidence|sense	monk|monks|monastic|self-denial|renunciation|hermit|spiritual|devotion|fasting	
ease	assuage	assuage	VERB	make an unpleasant feeling less intense	with ease|ease of use|eased into|access	pain|fears|fear|concerns|anxiety|guilt|grief|suffering|worries|doubts|anger|tension	
eased	assuaged	assuage	VERB	made an unpleasant feeling less intense	restrictions|rules|regulations|traffic|into	pain|fears|concerns|anxiety|guilt|grief|worries|doubts|anger|tension	
soothe	assuage	assuage	VERB	relieve or calm a distressing feeling	skin|cream|lotion|throat|burn|baby|rash		
double-cross	betray	betray	VERB	deceive someone who trusts you			
give away	betray	betray	VERB	unintentionally reveal something hidden	free|prize|money|bride|giveaway|charity|tickets	secret|feelings|nerves|position|emotion|emotions|identity|surprise|truth	
gave away	betrayed	betray	VERB	unintentionally revealed something hidden	free|prize|money|bride|charity|tickets|fortune	secret|feelings|nerves|position|emotion|emotions|identity|truth|him|her	
rural	bucolic	bucolic	ADJ	of the countryside, evoking its pleasant charm	poverty|unemployment|decline|broadband|hospital|clinic|voters|development|policy	scene|scenery|landscape|setting|charm|idyll|views|village|retreat|tranquillity|tranquility|beauty	
countryside	bucolic	bucolic	ADJ	characteristic of pleasant country life (attributive use)		scene|charm|idyll|setting|views	
growing	burgeoning	burgeon	ADJ	increasing rapidly in size, number or importance	plant|plants|garden|hair|beard|tomatoes|crops|child|older|up		
expanding	burgeoning	burgeon	ADJ	rapidly increasing in scope or size	gas|metal|foam|universe|chest|lungs		
flourish	burgeon	burgeon	VERB	grow or develop vigorously	pen|signature|final|added|with a		
noisy	cacophonous	cacophonous	ADJ	full of harsh, discordant noise	neighbours|neighbors|data|channel|measurement		
jarring	cacophonous	cacophonous	ADJ	harsh and discordant to the ear	transition|contrast|juxtaposition|visual|image|edit	sound|sounds|noise|music|chords|voices|din|clatter	
discordant	cacophonous	cacophonous	ADJ	harsh and clashing in sound	note struck|opinions|views	sound|sounds|noise|music|voices|chorus|notes	
criticize	censure	censure	VERB	express severe, formal disapproval of conduct	novel|film|poem|essay|art|review|critique	officially|formally|publicly|report|committee|board|council|parliament|government|conduct|behaviour|behavior|ethics	
criticized	censured	censure	VERB	expressed severe, formal disapproval of conduct	novel|film|poem|essay|art|review	officially|formally|publicly|report|committee|board|council|parliament|government|conduct|behaviour|behavior|ethics|regulator|watchdog	
criticism	censure	censure	NOUN	severe formal disapproval	literary|film|art|constructive|novel|review|critic	official|formal|public|harsh|severe|widespread|faced|drew|motion	
trickery	chicanery	chicanery	NOUN	the use of deception to achieve an aim	magic|magician|card|stage		
deception	chicanery	chicanery	NOUN	deliberate deceit, especially in dealings or legal manoeuvring	self-deception|military|radar|camouflage		
dirty tricks	chicanery	chicanery	NOUN	underhanded manoeuvres, especially political or legal			
hardworking	industrious	industrious	ADJ	putting in a lot of effort and work			
hard-working	industrious	industrious	ADJ	putting in a lot of effort and work			
busy	industrious	industrious	ADJ	actively and steadily engaged in work	line|signal|phone|street|schedule|road|traffic	worker|workers|bees|hands|people|students|staff	
tell	inform	inform	VERB	communicate facts to someone	story|joke|time|apart|lie|truth|difference|tale		
told	informed	inform	VERB	communicated facts to someone	story|joke|apart|lie|tale|off		
notify	inform	inform	VERB	formally give someone information			
annoying	irksome	irksome	ADJ	causing mild irritation			
irritating	irksome	irksome	ADJ	causing mild irritation or annoyance	skin|eyes|throat|rash|chemical|lungs		
tiresome	irksome	irksome	ADJ	tedious and annoying			
handcuff	manacle	manacle	VERB	restrain someone's wrists with metal restraints			
handcuffed	manacled	manacle	VERB	restrained with metal wrist restraints			
shackles	manacles	manacle	NOUN	metal restraints for wrists or ankles	metaphor|poverty|debt|tradition|free	prisoner|prisoners|wrists|ankles|iron|chains|guards	
small	modest	modest	ADJ	not large in size or amount	talk|print|hours|child|animal|letters|intestine	increase|sum|amount|income|gain|rise|budget|house|apartment|fee|profit	
humble	modest	modest	ADJ	having a low or unassuming view of one's own importance	pie|origins|beginnings|abode		
inexpensive	modest	modest	ADJ	not costly or elaborate			
poisonous	noxious	noxious	ADJ	harmful or toxic, especially of gases or fumes	snake|spider|mushroom|berries|bite|venom|frog	gas|gases|fumes|smoke|vapour|vapors|vapours|air|chemicals|odor|odour	
toxic	noxious	noxious	ADJ	poisonous, harmful to health	relationship|masculinity|workplace|culture|asset|assets|people|boss		
foul	noxious	noxious	ADJ	offensive and unpleasant, especially in smell	play|ball|line|language|referee|committed|penalty	smell|odor|odour|stench|air|water|fumes	
harmful	pernicious	pernicious	ADJ	causing damage, especially insidiously over time	ultraviolet|bacteria|sunburn	effect|effects|influence|myth|stereotype|idea|ideas|habit|practice|trend|doctrine|belief|narrative	
damaging	pernicious	pernicious	ADJ	causing harm, especially gradually		effect|effects|influence|myth|stereotype|idea|ideas|habit|practice|trend|narrative	
insidious	pernicious	pernicious	ADJ	harmful in a gradual, subtle way			
situation	predicament	predicament	NOUN	a difficult or awkward set of circumstances	improved|ideal|happy|comedy|win-win	difficult|awkward|tricky|unfortunate|embarrassing|desperate|stuck|trapped|escape|out of this	
fix	predicament	predicament	NOUN	an awkward or difficult situation one is in	quick fix|repair|bug|problem was|broken	in a|got into|found himself|found herself|found themselves|out of this	
dilemma	predicament	predicament	NOUN	a difficult situation requiring a hard choice			
skilled	proficient	proficient	ADJ	having the ability to do something well	labor|labour|trades|workers shortage		
competent	proficient	proficient	ADJ	having adequate skill to do something well	court|legally|jurisdiction|stand trial		
good at	proficient at	proficient	ADJ	skilled at an activity			
long-winded	prolix	prolix	ADJ	using too many words, tediously lengthy			
wordy	prolix	prolix	ADJ	using more words than necessary			
verbose	prolix	prolix	ADJ	using more words than needed	logging|output|flag|mode|option		
secondary	subordinate	subordinate	ADJ	of lesser importance, ranking below something else	school|education|student|students|teacher|market|infection|colors|colours|sector		
lesser	subordinate	subordinate	ADJ	of lower rank or importance	evil|extent|known|panda	role|importance|status|position|rank	
lower-ranking	subordinate	subordinate	ADJ	of lower rank in a hierarchy			
inappropriate	unseemly	unseemly	ADJ	not proper or fitting for the occasion	age-inappropriate|dosage|medically		
improper	unseemly	unseemly	ADJ	not conforming to accepted standards of behaviour	fraction|integral|payments accounting		
indecent	unseemly	unseemly	ADJ	offending against standards of propriety	exposure|assault|images		
virtual	veritable	veritable	ADJ	almost the thing described, used to emphasise a metaphor	reality|machine|memory|desktop|server|assistant|meeting|online|computer|environment	a virtual	
absolute	veritable	veritable	ADJ	used for emphasis before a noun	value|zero|majority|monarchy|truth|power|terms|minimum|maximum	an absolute	
real	veritable	veritable	ADJ	used for emphasis, genuine example of	estate|world|time|fake|imaginary|numbers|name|money|life	a real	
follower	acolyte	acolyte	NOUN	a devoted supporter of a person or leader	twitter|instagram|social media|count		
followers	acolytes	acolyte	NOUN	devoted supporters of a person or leader	twitter|instagram|social media|count|gained|million		
disciple	acolyte	acolyte	NOUN	a pupil or devoted adherent of a teacher			
named	anointed	anoint	VERB	designate someone as a successor or chosen candidate	street|building|after his|after her|child|baby|was named after	successor|heir|heir apparent|chosen	
crowned	anointed	anoint	VERB	declare someone the leading figure or winner	tooth|dental|molar	champion|successor|king|favourite|favorite|heir	
hinder	inhibit	inhibit	VERB	to hold back or slow down a process or action			
hinders	inhibits	inhibit	VERB	holds back or slows down a process or action			
prevent	inhibit	inhibit	VERB	to stop something from happening or developing	prevention|law|police|crime	growth|development|spread|reaction|bacteria|activity|learning|enzyme|process	
mysterious	inscrutable	inscrutable	ADJ	impossible to understand or explain; giving nothing away	murder|novel|detective|thriller|whodunit		
unreadable	inscrutable	inscrutable	ADJ	of a face or expression: showing no interpretable emotion	handwriting|text|book|font|script|file|prose|novel	face|expression|look|smile|eyes|stare|features	
baffling	inscrutable	inscrutable	ADJ	impossible to make sense of			
idolize	lionize	lionize	VERB	to admire and celebrate a person excessively			
idolized	lionized	lionize	VERB	admired and celebrated a person excessively			
hailed	lionized	lionize	VERB	publicly praised or acclaimed a person	taxi|cab|from|storm|hailstones	hero|genius|champion|pioneer|saviour|savior|star|visionary	
boring	monotonous	monotonous	ADJ	dull and tedious because unvarying	drill|hole|tunnel|machine|bore|holes		
dull	monotonous	monotonous	ADJ	tedious and lacking variety	knife|blade|ache|pain|colour|color|gleam|edge|thud|light|sky		
repetitive	monotonous	monotonous	ADJ	tediously unvarying and repeated			
strange	peculiar	peculiar	ADJ	odd or unusual	stranger|strangers|land|country|unfamiliar		
odd	peculiar	peculiar	ADJ	strange or unusual	even|number|numbers|socks|jobs|sock|one out|odds		
unique to	peculiar to	peculiar	ADJ	belonging exclusively to one group or place			
planned in advance	premeditated	premeditate	VERB	thought out or arranged beforehand	holiday|party|wedding|trip|vacation|menu		
planned	premeditated	premeditate	VERB	deliberately worked out beforehand (of a wrongful act)	holiday|party|wedding|trip|route|meal|budget|city|garden	murder|killing|attack|crime|assault|robbery|ambush|assassination	
deliberate	premeditated	premeditate	ADJ	done on purpose after being thought out beforehand	deliberately|slow|pace|movements|council|jury|deliberations	murder|killing|attack|crime|act|assault|fraud	
wasteful	profligate	profligate	ADJ	recklessly extravagant with resources or money			
extravagant	profligate	profligate	ADJ	spending far more than is necessary or wise	claims|claim|praise|gesture|promises|language|compliments	spending|spender|lifestyle|expenditure|habits|tastes|borrowing|government|son	
reckless	profligate	profligate	ADJ	irresponsibly free with money or resources	driving|driver|endangerment|speed|abandon	spending|borrowing|expenditure|waste|use of|lending	
settle	reconcile	reconcile	VERB	to resolve a quarrel or set of differences	down|bill|debt|in|settlers|dust|sediment|case out of court|village|tab	dispute|differences|quarrel|feud|conflict|argument|disagreement	
square	reconcile	reconcile	VERB	to make two things compatible or consistent with each other	metres|meters|feet|miles|root|shoulders|town|garden|shape|kilometres|circle	with|claims|statement|belief|story|account|view|facts	
match up	reconcile	reconcile	VERB	to make figures or records agree with one another	dating|partner|couple|game|tournament	accounts|figures|records|totals|invoices|ledger|statements|balance	
polish	refine	refine	VERB	to make small improvements to something already workable	shoes|boots|floor|furniture|silver|nails|cloth|wax|Polish|Poland	draft|argument|technique|skills|prose|design|pitch|routine|essay|approach	
tweak	refine	refine	VERB	to make minor adjustments to improve something	nose|ear|cheek		
purify	refine	refine	VERB	to remove impurities from a substance	soul|heart|spirit|ritual|prayer|sins	oil|ore|metal|sugar|crude|petroleum|sample|product|compound	
give up	relinquish	relinquish	VERB	to surrender possession of or a claim to something	smoking|cigarettes|drinking|alcohol|trying|hope of ever|sugar|chocolate|gave in	control|power|claim|title|rights|throne|seat|ownership|command|stake|post|land	
gave up	relinquished	relinquish	VERB	surrendered possession of or a claim to something	smoking|cigarettes|drinking|alcohol|trying|waiting|searching|sugar	control|power|claim|title|rights|throne|seat|ownership|command|stake|post|land	
hand over	relinquish	relinquish	VERB	to yield up control or possession	prisoner|suspect|police|keys to the|document	control|power|authority|command|leadership|reins	
ponder	ruminate	ruminate	VERB	to think deeply and at length about something			
pondered	ruminated	ruminate	VERB	thought deeply and at length about something			
mused	ruminated	ruminate	VERB	reflected thoughtfully, often aloud			
jumpy	skittish	skittish	ADJ	easily startled and nervous	footage|video|camera|image|picture		
nervous	skittish	skittish	ADJ	easily frightened and liable to bolt or panic	system|breakdown|disorder|tissue|impulse|exam|interview|wreck	horse|horses|pony|cat|dog|animal|mare|investors|market|markets|traders|herd	
easily spooked	skittish	skittish	ADJ	quick to take fright			
unnecessary	superfluous	superfluous	ADJ	not needed because there is already more than enough	risk|suffering|cruelty|delay|violence|death|harm		
needless	superfluous	superfluous	ADJ	serving no purpose; more than is required	to say|suffering|risk|cruelty|death		
redundant	superfluous	superfluous	ADJ	unnecessary because it duplicates or exceeds what is needed	jobs|job|staff|workers|employees|laid|redundancy|made redundant|layoffs		
general	synoptic	synoptic	ADJ	giving a broad overall view rather than details	public|election|manager|secretary|hospital|store|practitioner|in general|general rule	view|overview|account|survey|summary|picture of the whole	
big-picture	synoptic	synoptic	ADJ	taking a comprehensive overall view			
detailed	thorough	thorough	ADJ	covering every particular carefully	drawing|map|illustration|carving|embroidery	investigation|review|examination|analysis|search|study|inspection|report|account|assessment	
in-depth	thorough	thorough	ADJ	carried out completely and in detail			
complete	thorough	thorough	ADJ	leaving nothing out; done to every detail	set|collection|works|sentence|form|task|incomplete|complete with	overhaul|search|review|transformation|rethink|investigation|cleaning|makeover	
embarrassment	chagrin	chagrin	NOUN	the feeling of shame or mortification at having failed or been shown up	riches|financial|fiscal|wealth|embarrassment of riches		
disappointment	chagrin	chagrin	NOUN	the vexed, mortified feeling of having one's hopes or efforts fail			
annoyance	chagrin	chagrin	NOUN	vexation at an outcome that reflects badly on oneself	noise|neighbour|neighbor|itch|insect|mosquito	failed|failure|lost|defeat|mistake|much to my|much to his|much to her|much to their	
conspire	collude	collude	VERB	to plan together secretly to do something wrong or deceitful	fate|events|circumstances|weather|conspiracy theory		
conspired	colluded	collude	VERB	planned together secretly to do something wrong or deceitful	fate|events|circumstances|weather		
cooperated	colluded	collude	VERB	worked together, in this case improperly or in secret	police|investigators|authorities|fully|willingly	secretly|illegally|unlawfully|rivals|competitors|price|bribe|fraud|cover-up	
sympathize	commiserate	commiserate	VERB	to express sorrow or pity to someone over their misfortune	view|position|cause|argument|aims|goals|politically|ideology		
sympathized	commiserated	commiserate	VERB	expressed sorrow or pity to someone over their misfortune	view|position|cause|argument|aims|goals|ideology		
console	commiserate with	commiserate	VERB	to comfort someone in their disappointment or grief	game|gaming|Nintendo|Xbox|PlayStation|dashboard|wooden|table|stereo		
blaze	conflagration	conflagration	NOUN	a large, destructive fire	glory|trail|publicity|colour|color|sun|blaze of		
huge fire	conflagration	conflagration	NOUN	a very large fire that destroys much of an area			
fire	conflagration	conflagration	NOUN	a large destructive burning that consumes buildings or land	fired|gunfire|open fire|under fire|fireplace|campfire|fire department|hired|dismissed|artillery|rifle|fireworks|cross-fire	destroyed|gutted|razed|swept|engulfed|spread|blocks|acres|citywide|great	
spat	contretemps	contretemps	NOUN	a brief, petty quarrel	spitting|saliva|chewed|chewing|gum|tobacco|blood|spat out		
tiff	contretemps	contretemps	NOUN	a small, petty argument			
minor disagreement	contretemps	contretemps	NOUN	a small dispute between people			
hum	croon	croon	VERB	to sing wordlessly in a soft low voice	engine|motor|machine|fridge|refrigerator|bees|traffic|wires|activity|fluorescent|air conditioner		
hummed	crooned	croon	VERB	sang wordlessly in a soft low voice	engine|motor|machine|fridge|refrigerator|bees|traffic|wires|activity|room|city		
sang softly	crooned	croon	VERB	sang in a low, sentimental voice			
overthrow	depose	depose	VERB	to remove a ruler or leader from power by force	capitalism|system|order|society|establishment	king|queen|president|emperor|monarch|leader|dictator|ruler|tsar|shah|prime minister|regime|government	
overthrown	deposed	depose	VERB	removed from power by force	capitalism|system|order|society	king|queen|president|emperor|monarch|leader|dictator|ruler|tsar|shah|prime minister|regime|government	
ousted	deposed	depose	VERB	forced out of office or a position of power		king|queen|president|emperor|monarch|leader|dictator|ruler|chairman|government|junta|coup	
thaw	detente	detente	NOUN	an easing of hostility between countries or parties	snow|ice|frozen|freezer|spring|winter|weather|temperature|permafrost|meat	relations|diplomatic|tensions|talks|countries|nations|rivals|Cold War|hostility	
easing of tensions	detente	detente	NOUN	a reduction of hostility between opposed sides			
frumpy	dowdy	dowdy	ADJ	dull and unstylish in dress or appearance			
unfashionable	dowdy	dowdy	ADJ	not stylish in dress or appearance	idea|ideas|theory|opinion|view|neighbourhood|neighborhood|district|area|address|cause|politically	dress|dresses|clothes|clothing|outfit|suit|skirt|blouse|cardigan|appearance|looked|looks|wardrobe|hairstyle	
drab	dowdy	dowdy	ADJ	dull and unattractive in dress	landscape|building|concrete|weather|sky|office|town|walls|paint	dress|clothes|clothing|outfit|suit|skirt|appearance|looked|wardrobe	
levels	echelons	echelon	NOUN	ranks or grades within a hierarchy of people	water|sea|noise|sugar|blood|cholesterol|energy|radiation|floor|storey|story|difficulty|game|oxygen|stress hormone	management|organization|organisation|government|hierarchy|company|party|command|military|bureaucracy|leadership|upper|lower|higher|top	
ranks	echelons	echelon	NOUN	levels of seniority within an organization	taxi|smell|odour|odor|rank and file	upper|top|higher|lower|party|army|military|management|organization|organisation|hierarchy|government	
tier	echelon	echelon	NOUN	a level or rank in a graded structure	cake|wedding|seating|stadium|shelf	management|government|leadership|organization|organisation|hierarchy|command|top|upper	
boredom	ennui	ennui	NOUN	weary dissatisfaction arising from having nothing engaging to do			
listlessness	ennui	ennui	NOUN	a dispirited lack of energy or interest	illness|fever|anemia|anaemia|symptom|disease|dehydration		
elaborate	expatiate	expatiate	VERB	to speak or write at greater length about something	design|designs|costume|costumes|plan|plans|scheme|ritual|decoration|carving|hoax|mechanism|meal|pattern|an elaborate|more elaborate|most elaborate	on|upon	
elaborated	expatiated	expatiate	VERB	spoke or wrote at greater length about something	design|costume|scheme|decoration|pattern	on|upon	
expand on	expatiate on	expatiate	VERB	to discuss something in fuller detail	business|market|empire|universe|gas|metal|waistline		
tense	fraught	fraught	ADJ	marked by anxiety and strain	muscle|muscles|grammar|verb|past|present|future|conjugation|shoulders|neck|jaw|stretch	situation|atmosphere|relationship|relations|meeting|silence|moment|negotiations|standoff|exchange|talks	
full of	fraught with	fraught	ADJ	containing a great deal of something undesirable	water|people|food|joy|light|promise|ideas|energy|himself|flavour|flavor	danger|dangers|difficulty|difficulties|risk|risks|peril|perils|problems|pitfalls|tension|uncertainty|complications|hazards	
loaded with	fraught with	fraught	ADJ	carrying a heavy burden of something unwelcome	truck|cargo|gun|rifle|calories|sugar|dishwasher|software|page|data	danger|risk|peril|difficulty|tension|problems|significance|implications	
pivot	fulcrum	fulcrum	NOUN	the central point on which something turns or depends	pivoted|pivoting|pivot to|strategy shift|foot|basketball|dribble|company pivot|startup		
linchpin	fulcrum	fulcrum	NOUN	the thing on which everything else depends			
centrepiece	fulcrum	fulcrum	NOUN	the central and essential element of something	table|flowers|dinner|floral|vase|wedding	strategy|policy|plan|argument|campaign|reform|programme|program|debate	
mess	imbroglio	imbroglio	NOUN	a confused and embarrassing entanglement of affairs	kitchen|room|floor|clean|cleaning|tidy|spill|spilled|dirty|food|crumbs|mud|paint|hair|desk|mess hall	political|legal|diplomatic|financial|scandal|affair|dispute|lawsuit|contract|resignation|allegations	
muddle	imbroglio	imbroglio	NOUN	a confused and tangled state of affairs	muddle through|muddled thinking|drunk		
tangled affair	imbroglio	imbroglio	NOUN	a complicated and embarrassing situation			
biting	caustic	caustic	ADJ	sharply sarcastic or cutting (of remarks, wit, humor)	cold|wind|frost|insect|mosquito|dog|teeth|nails|chill		
scathing	caustic	caustic	ADJ	withering and bitterly critical (of comments, reviews, attacks)			
sarcastic	caustic	caustic	ADJ	mocking in a bitter, mordant way			
interpret	construe	construe	VERB	to understand or take something as having a particular meaning	translator|translate|interpreter|dance|music|perform|song		
interpreted	construed	construe	VERB	understood or took as having a particular meaning	translator|translate|interpreter|dance|music|perform|song		
interpreting	construing	construe	VERB	understanding as having a particular meaning	translator|translate|interpreter|dance|music|perform|song		
apologetic	contrite	contrite	ADJ	showing regret for having done wrong			
remorseful	contrite	contrite	ADJ	feeling deep regret for wrongdoing			
repentant	contrite	contrite	ADJ	expressing sincere regret for one's misdeeds			
complicated	convoluted	convoluted	ADJ	so intricate as to be hard to follow (of arguments, plots, rules, procedures)	pregnancy|surgery|medical|recovery|fracture|illness		
overly complex	convoluted	convoluted	ADJ	needlessly intricate and hard to follow			
tangled	convoluted	convoluted	ADJ	confusingly intricate (of a story, web of relationships, argument)	hair|wires|cord|fishing|net|weeds|branches|headphones		
crave	covet	covet	VERB	to long intensely to possess something	sugar|food|chocolate|snack|carbs|nicotine|drug|pregnancy		
craves	covets	covet	VERB	longs intensely to possess something	sugar|food|chocolate|snack|carbs|nicotine|drug		
envy	covet	covet	VERB	to desire enviously what someone else has			
cowardly	craven	craven	ADJ	lacking courage			
gutless	craven	craven	ADJ	lacking courage or resolve			
spineless	craven	craven	ADJ	lacking courage or firmness of character	invertebrate|jellyfish|biology|species|anatomy		
propriety	decorum	decorum	NOUN	conformity to accepted standards of behavior			
good manners	decorum	decorum	NOUN	polite, socially correct behavior			
etiquette	decorum	decorum	NOUN	the code of polite behavior in society			
skillful	deft	deft	ADJ	showing neat, quick skill in handling something			
skilful	deft	deft	ADJ	showing neat, quick skill in handling something (British spelling)			
skillfully	deftly	deft	ADV	in a neat and skillful manner			
objected	demurred	demur	VERB	raised an objection or showed reluctance			
object	demur	demur	VERB	to raise an objection or express reluctance	objects|sharp|metal|inanimate|flying|foreign|moving|lesson|direct		
balked	demurred	demur	VERB	showed reluctance and refused to proceed	pitcher|baseball|mound|horse|fence		
unoriginal	derivative	derivative	ADJ	copying the style or content of others; not original			
imitative	derivative	derivative	ADJ	copying the work or style of another			
copycat	derivative	derivative	ADJ	slavishly imitating another's work	crime|killer|murder|attack|suicide		
dry out	desiccate	desiccate	VERB	to remove all moisture from something	rehab|alcoholic|sober|drinking		
dried	desiccated	desiccate	VERB	having had all moisture removed	tears|eyes|dishes|hands|towel|hair|laundry|clothes		
drying	desiccating	desiccate	VERB	removing all moisture from something	tears|dishes|hands|towel|hair|laundry|clothes		
rant	diatribe	diatribe	NOUN	a long, angry, bitter verbal attack	rave|ranting		
