group	word	gloss
10	stoic	a person who can endure pain without complaining
10	supersede	take the place of, supplant
10	tout	attempt to persuade people of the merits of
10	wane	decrease in vigor or extent, become weaker
11	abhor	regard with disgust and hatred
11	boisterous	noisy, energetic and cheerful
11	chivalrous	courteous and gallant
11	churlish	rude in a mean-spirited and surly way
11	clandestine	kept secret or done secretively
11	complacent	showing smug or uncritical satisfaction with oneself
11	cumbersome	large or heavy and therefore difficult to carry or use
11	debilitating	making someone weak and infirm
11	deliberate	done consciously and intentionally
11	droll	curious or unusual in a way that provokes dry amusement
11	eccentric	unconventional and slightly strange
11	fractious	irritable and quarrelsome, difficult to control
11	limpid	completely clear and transparent
11	mawkish	sentimental in an exaggerated or false way
11	obeisance	deferential respect, bow or curtsy
11	ostentatious	characterized by showy display, designed to impress
11	panacea	a solution or remedy for all difficulties or diseases
11	perfunctory	carried out without real interest or feeling
11	perilous	full of danger or risk
11	pervasive	spreading widely throughout an area or group
11	preclude	prevent from happening, make impossible
11	predilection	a preference or special liking for something
11	rapacious	aggressively greedy or grasping
11	relish	great enjoyment, pleasurable anticipation
11	satirical	containing or using satire, mocking a weakness
11	sham	a person or thing that pretends to be what it is not
11	skirt	be situated around the edge of, avoid dealing with
11	sluggish	slow moving, lacking energy or alertness
11	spartan	lacking comfort or luxury, harsh, frugal
11	truculent	eager to argue, aggressively defiant
12	acrimonious	angry and bitter
12	belligerent	hostile and aggressive
12	beneficent	generous and doing good
12	canny	showing shrewdness and good judgment
12	cavalier	showing lack of concern
12	distressed	suffering from extreme anxiety, sorrow or pain
12	dwindling	gradually diminishing in size, amount or strength
12	eclipse	deprive something of significance and power
12	encyclopedic	comprehensive in terms of information
12	exacerbate	make problems worse
12	exasperated	intensely irritated and frustrated
12	fungible	mutually interchangeable
12	hackneyed	having been overused, unoriginal and trite
12	incongruous	not in harmony or keeping with surroundings
12	interchangeable	apparently identical
12	laconic	using very few words
12	lucrative	providing a great deal of profit
12	magisterial	domineering, dictatorial
12	onerous	involving a great deal of effort, burdensome
12	opprobrium	harsh criticism or censure
12	parsimonious	very unwilling to spend money or use resources
12	peripheral	of minor importance, marginal
12	provocative	causing anger or another strong reaction deliberately
12	renounce	formally declare one's abandonment of
12	tempestuous	characterized by strong or conflicting emotion
12	tenable	defensible
12	transgression	act that goes against a law
12	urbane	courteous and refined in manner
12	verisimilitude	the appearance of being true or real
12	vitiate	spoil or impair the quality or efficiency of something
13	affinity	a natural liking for something, resemblance
13	altruistic	selfless
13	baroque	highly ornate and extravagant in style
13	byzantine	excessively complicated, characterized by deviousness
13	compromise	harm by accepting standards lower than is desirable
13	conciliatory	intended or likely to placate or pacify
13	countenance	facial expression, or support or approval
13	covert	not openly acknowledged or displayed, secretive
13	credible	able to be believed, trustworthy
13	diffuse	spread out, or lacking clarity or conciseness
13	documentary	based on official documents
13	exhaustive	including all elements or aspects, comprehensive
13	exhilarating	thrilling, making one feel very happy, animated
13	extraneous	irrelevant or unrelated to the subject
13	fervor	intense and passionate feeling
13	futile	fruitless, pointless
13	illusory	based on illusion
13	invidious	unpleasant, likely to cause resentment
13	lethargic	sluggish, lazy
13	metaphorical	figurative
13	mimic	imitate
13	numinous	having a strong religious or spiritual quality
13	obscure	not discovered or known about, abstruse
13	overt	done or shown openly
13	pellucid	clear, easily understood
13	perpetuate	make something continue indefinitely
13	rational	based on or in accordance with reason or logic
13	scathing	scornful, severely critical
13	subtle	delicately complex, using clever and indirect methods
13	superficial	cursory, not thorough
14	acquiesce	accept something reluctantly without protest
14	adroit	clever or skillful
14	amend	improve by minor change
14	animus	hostility or ill feeling
14	apologist	a person who argues in defense of something controversial
14	astringent	sharp or severe in manner or style
14	collaborate	work jointly on an activity or project
14	competent	efficient and capable
14	correlate	correspond, connect
14	deride	ridicule
14	dictate	an order or principle that must be obeyed
14	discreet	careful to keep something confidential, unobtrusive
14	divorced	separated from something, typically undesirably
14	elitist	demonstrating a superior attitude associated with an elite
14	exacting	demanding
14	flummoxed	bewildered or perplexed
14	fruitful	fertile, productive
14	inborn	natural to a person or animal
14	polymath	a person of wide knowledge or learning
14	reticent	reserved, not revealing one's feelings readily
14	stringent	strict, precise and exacting
14	subservient	prepared to obey others unquestioningly, subordinate
14	surreptitious	kept secret because it would not be approved of
14	tantalizing	tormenting with the promise of something unobtainable
14	tantamount	equivalent in seriousness to, virtually the same as
14	torpor	a state of physical or mental inactivity, lethargy
14	trenchant	vigorous or incisive in expression or style
14	umbrage	offense or annoyance
14	versatile	adaptable to many different functions or activities
14	wayward	difficult to control or predict because of willful behavior
15	alienate	make someone feel isolated or estranged
15	apathy	lack of interest, enthusiasm or concern
15	apropos	very appropriate to a particular situation
15	apt	suitable in the circumstances, or quick to learn
15	cloak	something serving to hide or disguise something
15	consensus	a general agreement
15	distort	pull or twist out of shape, give a misleading account
15	divergent	tending to be different or develop in different directions
15	elated	ecstatically happy
15	enchant	fill someone with great delight
15	entrenched	firmly established and difficult to change, ingrained
15	exotic	characteristic of a distant foreign country
15	exploitative	treating others unfairly in order to gain an advantage
15	foreseeable	able to be foreseen or predicted
15	forsake	abandon, renounce
15	gratify	give someone pleasure or satisfaction
15	heed	pay attention to, take notice of
15	judicious	having or showing good judgment
15	lucid	expressed clearly, easy to understand
15	pertinent	relevant to a particular matter, apposite
15	propriety	conformity to conventionally accepted standards of behavior
15	scintillating	brilliantly clever, sparkling
15	sensational	causing great public interest and excitement
15	sophisticated	having a great deal of worldly experience and knowledge
15	strife	angry or bitter disagreement over fundamental issues
15	understated	presented or expressed in a subtle and effective way
15	unscrupulous	having or showing no moral principles, not honest or fair
15	veracity	conformity to facts, accuracy, habitual truthfulness
15	virulent	extremely severe or harmful in its effects, bitterly hostile
15	volatile	liable to change rapidly and unpredictably, easily evaporated
16	antedate	precede in time, come before in date
16	banish	send someone away as a punishment, get rid of
16	bridle	show one's anger
16	comply	act in accordance with a wish or command
16	crestfallen	sad and disappointed
16	curtail	cut short, reduce
16	elucidate	make something clear, explain
16	evade	escape or avoid something by guile or trickery
16	feckless	lacking initiative or strength of character, irresponsible
16	fester	become septic, or of a feeling become worse
16	iconoclastic	criticizing cherished beliefs or institutions
16	immure	enclose or confine against their will
16	improvise	create and perform spontaneously without preparation
16	inhibit	prevent, or make someone self-conscious
16	inscrutable	impossible to understand or interpret
16	lionize	give a lot of public attention and approval to someone
16	monotonous	dull, tedious, lacking in variety
16	peculiar	strange, or belonging exclusively to
16	premeditate	think out or plan beforehand
16	profligate	wasteful in the use of resources, dissolute
16	reconcile	restore, settle, show to be compatible
16	refine	remove impurities, make minor changes to improve
16	relinquish	voluntarily cease to keep or claim, give up
16	ruminate	think deeply about something
16	skittish	easily scared, unpredictable, playfully frivolous
16	superfluous	unnecessary through being more than enough, redundant
16	synoptic	forming a general summary, taking a comprehensive view
16	thorough	complete with regard to every detail
16	visionary	thinking about or planning the future with imagination
16	vociferous	expressing vehement opinions, loud and forceful, outspoken
17	acclaim	praise enthusiastically and publicly
17	ascertain	find something out for certain, make sure of
17	assertive	having or showing a confident and forceful personality
17	bogus	not genuine or true
17	cataclysmic	large-scale and violent
17	circumscribe	restrict something within limits
17	complementary	combining so as to enhance the qualities of each other
17	contentious	controversial, quarrelsome
17	disingenuous	not candid or sincere
17	divulge	make known private information, disclose, reveal
17	dogmatic	inclined to lay down principles as true, highly opinionated
17	fallacious	based on a mistaken belief
17	foolhardy	recklessly bold
17	hinder	obstruct
17	impair	weaken or damage
17	impugn	dispute the truth of, call into question, challenge
17	incessant	continuing without pause or interruption
17	inclined	willing or disposed to do something
17	inveterate	long-established and unlikely to change
17	miserly	characteristic of a miser, pitiably small, inadequate
17	patent	easily recognizable, obvious
17	petulant	bad-tempered, peevish, childishly sulky
17	pithy	terse and vigorously expressive
17	sanctimonious	making a show of being morally superior, self-righteous
17	sound	not damaged, showing good judgment, competent
17	tarnish	make or become less valuable or respected
17	tepid	lukewarm, showing little enthusiasm
17	upbraid	find fault with, scold
17	vexation	the state of being annoyed, frustrated or worried
17	winnow	remove what is unwanted, sift
18	abet	encourage or assist someone to do something wrong
18	accessible	able to be reached or entered
18	acquisitive	excessively interested in acquiring money or materials
18	amalgamate	combine or unite to form one organization or structure
18	attenuate	reduce the force, effect or value of
18	augment	make something greater by adding to it, increase
18	aversion	a strong dislike or disinclination
18	blithe	showing casual and cheerful indifference, callous
18	contempt	the feeling that a person or thing is worthless
18	dawdle	waste time, be slow
18	deflect	cause to change direction, cause to deviate
18	discount	regard as being unworthy of consideration
18	dissident	in opposition to official policy, dissenting
18	efficacious	successful in producing a desired result, effective
18	equitable	fair and impartial
18	erratic	not even or regular in pattern, unpredictable
18	industrious	diligent and hardworking
18	inform	give facts or information
18	irksome	irritating, annoying
18	manacle	shackle, handcuff
18	modest	not large, elaborate or expensive, self-deprecating
18	noxious	harmful, poisonous or very unpleasant
18	pernicious	having a harmful effect, especially in a gradual way
18	predicament	a difficult, unpleasant or embarrassing situation
18	proficient	competent or skilled in doing or using something
18	prolix	using too many words, tediously lengthy
18	scorn	contempt, or refuse something out of pride
18	subordinate	of less or secondary importance
18	unseemly	not proper or appropriate
18	veritable	used for emphasis, often to qualify a metaphor
19	acolyte	an assistant or follower
19	anoint	choose as successor or leading candidate for a position
19	base	sordid, improper, low
19	coercion	persuading someone to do something by force or threat
19	coin	invent, create
19	cunning	skill in achieving one's ends by deceit
19	discomfit	make someone feel uneasy or embarrassed
19	dissent	disagreement
19	distill	purify, extract the essential meaning of
19	dubious	hesitating, not to be relied upon, morally suspect
19	ebullient	cheerful and full of energy
19	facetious	treating serious issues with inappropriate humor, flippant
19	fallible	capable of making mistakes or being wrong
19	florid	having a red or flushed complexion, excessively elaborate
19	gawky	nervously awkward and ungainly
19	inveigle	persuade someone by means of deception or flattery
19	jettison	abandon or discard, throw or drop
19	mendacity	untruthfulness
19	munificent	characterized by great generosity
19	naive	showing lack of experience, innocent
19	noble	of high moral principles, of superior quality
19	parochial	narrow-minded, limited in outlook or scope
19	pedestrian	lacking excitement, dull
19	prevaricate	speak or act in an evasive way
19	prime	of first importance, most suitable
19	radical	far-reaching, thorough, revolutionary
19	recrudescence	the recurrence of an undesirable condition
19	temporal	secular, worldly, non-spiritual
19	transitory	not permanent
19	viable	capable of working successfully, feasible
20	abreast	side by side and facing the same way
20	confound	cause surprise or confusion, prove a theory wrong
20	digression	a temporary departure from the main subject
20	discrepancy	a surprising lack of compatibility or inconsistency
20	duplicitous	deceitful
20	expedient	convenient and practical although possibly improper
20	fabricate	invent in order to deceive, or construct
20	glum	looking or feeling dejected, morose, gloomy
20	harbinger	a person or thing that signals the approach of another
20	intrinsic	belonging naturally, essential
20	largess	generosity in bestowing money or gifts
20	libertine	a person who indulges in sensual pleasures without morals
20	malfeasance	wrongdoing, especially by a public official
20	manifest	obvious, or demonstrate, or become apparent
20	minute	insignificant, or taking small points into consideration
20	modish	following what is currently popular and fashionable
20	nascent	just coming into existence, showing future potential
20	perennial	everlasting, permanently engaged in a specified role
20	pious	devoutly religious, or sincere but unlikely to be fulfilled
20	providential	occurring at a favorable time
20	prowess	expertise in a particular activity, bravery in battle
20	schism	split between strongly opposed sections or parties
20	slander	defame, make false statements about
20	stalwart	loyal, reliable and hardworking
20	supplicate	ask or beg for something earnestly or humbly
20	terse	sparing in the use of words, abrupt
20	tirade	a long angry speech of criticism or accusation
20	universal	applicable to all cases, ubiquitous
20	vanquish	defeat thoroughly, conquer
20	woeful	very bad, causing sorrow or misery
21	abject	extremely unpleasant and degrading, utter
21	amicable	characterized by friendliness
21	animosity	strong hostility
21	aver	state or assert to be the case, declare
21	barrage	an overwhelming number of questions or criticisms
21	cathartic	providing relief through the expression of strong emotions
21	decipher	succeed in understanding or interpreting
21	delusion	a false belief, deception
21	dispense	supply or release, or get rid of
21	eloquent	clearly and persuasively expressing something
21	enthrall	capture the fascinated attention of, charm, enchant
21	eradicate	destroy completely
21	fledgling	immature, inexperienced, emerging
21	fortitude	courage in pain or adversity
21	fortuitous	happening by chance rather than intention
21	goad	provoke or annoy someone so as to stimulate action
21	imminent	about to happen
21	incontrovertible	not able to be denied or disputed
21	itinerant	traveling from place to place
21	magnanimous	generous or forgiving
21	meritorious	deserving reward or praise
21	mutiny	open rebellion against the proper authorities
21	paradoxical	seemingly absurd or self-contradicting
21	perseverance	persistence in doing something despite difficulty
21	render	provide, make, cause to become, represent
21	repertoire	a stock of skills or types of behavior habitually used
21	resilient	able to recover quickly from difficult conditions
21	resolute	admirably purposeful, determined
21	supple	flexible, easily manipulated
21	valor	great courage in the face of danger
22	arresting	eye-catching, attracting the attention
22	chastise	rebuke or reprimand severely, punish
22	economy	careful management of available resources
22	elementary	of the most basic kind, straightforward and uncomplicated
22	embellish	decorate, make more interesting by adding extra details
22	euphoric	characterized by intense excitement and happiness
22	exonerate	absolve from blame for wrongdoing
22	extrapolate	estimate or conclude by extending known information
22	falter	lose strength or momentum, move hesitantly
22	fervent	having or displaying a passionate intensity
22	foment	instigate or stir up
22	gaffe	an unintentional act or remark causing embarrassment
22	heterodox	not conforming with accepted or orthodox standards
22	histrionic	dramatic behavior designed to attract attention
22	implicit	suggested though not directly expressed, absolute
22	inviolate	free or safe from injury or violation
22	liability	the state of being responsible, or a person who is a burden
22	obstinate	stubborn, very difficult to change or overcome
22	painstaking	done with great care and thoroughness
22	phlegmatic	unemotional and stolidly calm, self-controlled
22	prodigious	remarkably great in extent, size or degree
22	propensity	a natural tendency to behave in a particular way
22	qualm	an uneasy feeling of doubt, misgiving
22	renege	go back on a promise, undertaking, or contract
22	stinting	supplying an ungenerous or inadequate amount
22	temper	act as a neutralizing or counterbalancing force to
22	tentative	provisional, not certain or fixed, hesitant
22	unprecedented	never done or known before
22	vivacious	attractively lively and animated
22	cumbrous	unwieldy, unmanageable, complicated
23	allusive	using suggestion rather than explicit mention
23	astute	shrewd
23	commence	begin
23	convalescent	recovering from illness or medical treatment
23	curb	restrain or check
23	decry	publicly denounce
23	duress	threats or constraint used to coerce someone
23	evoke	bring or recall to mind, elicit
23	fawn	give a servile display of exaggerated flattery
23	fret	be visibly anxious
23	glib	fluent but insincere and shallow
23	headstrong	energetically willful and determined
23	intermittent	sporadic, not continuous or steady
23	ire	anger
23	languid	showing disinclination for physical effort, weak
23	lull	make someone feel deceptively secure, calm
23	mettlesome	full of spirit and courage, lively
23	mollify	appease the anger or anxiety of, reduce the severity of
23	neutralize	counteract, offset, counterbalance
23	nonplussed	so surprised and confused that one is unsure how to act
23	precipitous	dangerously high or steep, done suddenly
23	pretentious	attempting to impress by affecting greater importance
23	profound	very great or intense, showing great knowledge
23	propagate	reproduce, spread or promote
23	recourse	a source of help in a difficult situation
23	refute	disprove, deny or contradict
23	regress	return to a former or less developed state
23	replenish	fill something up again, restore
23	repercussion	an unintended consequence of an event or action
23	vigilant	keeping careful watch for possible danger
24	assail	attack, criticize strongly
24	benevolent	well meaning and kindly
24	berate	scold or criticize angrily
24	buoyant	cheerful and optimistic, floating
24	buttress	support, increase the strength of or justification for
24	condone	accept behavior that is considered morally wrong
24	contravene	offend against a prohibition, conflict with
24	denounce	publicly declare to be wrong
24	despotic	tyrannical, autocratic
24	deviate	depart from an established course
24	disinterested	unbiased
24	escalate	increase rapidly, make more intense or serious
24	exorcise	completely remove from one's mind or memory
24	finicky	fussy about their needs, giving great attention to detail
24	foil	prevent from succeeding, frustrate the efforts of
24	intertwine	connect or link closely, twist together
24	inundate	overwhelm with things to be dealt with, flood
24	ironclad	rigid, unbreakable
24	jeopardize	threaten, endanger
24	mercurial	subject to sudden or unpredictable changes of mood
24	oblivion	the state of being unaware or forgotten
24	perpetrate	carry out or commit a harmful or illegal action
24	plaintive	sounding sad and mournful
24	poignant	evoking a keen sense of sadness or regret
24	quiescent	in a state or period of inactivity or dormancy
24	reiterate	repeat, typically for emphasis or clarity
24	subside	become less intense or severe, go down to a lower level
24	subsume	include or absorb in something else
24	surmount	overcome a difficulty, stand on top of
24	tangential	diverging from a previous course or line
25	adept	very skilled at something
25	adverse	preventing success, harmful
25	appropriate	take for one's own use, seize
25	archetype	a very typical example of a certain person or thing
25	articulate	able to speak fluently and coherently
25	auspicious	conducive to success, favorable
25	bereft	deprived of or lacking something, sad and lonely
25	captious	tending to find fault or raise petty objections
25	conclusive	having the effect of proving a case
25	conspire	make secret plans jointly
25	delineate	describe or portray precisely
25	disentangle	free from something that they are entangled with
25	exhort	strongly encourage or urge
25	frailty	weakness in character or morals
25	grievance	a real or imagined cause for complaint, unfair treatment
25	harangue	a lengthy and aggressive speech
25	poise	graceful composure and dignity of manner
25	pomposity	the quality of being pompous, self-importance
